1,7.26,7.26,7.56,7.77,8.38,8.59,8.72,8.90,8.90
2,7.84,7.84,8.01,8.29,9.30,10.54,11.01,11.54,11.54
3,8.00,8.00,8.35,8.72,10.04,12.55,13.75,15.80,15.80
4,8.10,8.10,8.58,9.21,10.83,14.65,16.43,18.31,18.31
5,8.20,8.20,8.63,9.53,12.10,16.72,18.94,21.31,21.31
6,8.31,8.31,8.67,9.64,14.72,19.24,22.17,25.10,25.10
7,8.58,8.58,9.93,9.98,16.78,21.08,24.59,27.83,27.83
8,8.64,8.64,10.43,11.80,18.29,23.19,27.16,31.39,31.39
9,9.50,9.50,10.83,12.30,19.59,25.27,29.48,35.02,35.02
10,9.90,9.90,11.29,12.40,21.21,27.30,32.38,38.02,38.02
11,13.15,13.15,15.54,16.59,26.61,33.62,40.05,45.80,45.80
12,13.90,13.90,16.47,19.16,28.34,36.54,43.10,49.10,49.10
13,14.57,14.57,17.36,20.01,29.73,38.55,44.25,49.95,49.95
14,15.27,15.27,18.26,21.02,31.33,40.60,46.50,52.40,52.40
15,15.82,15.82,19.17,21.99,32.82,42.40,48.10,53.80,53.80
16,16.47,16.47,20.32,23.34,34.63,44.65,50.65,56.85,56.85
17,16.96,16.96,21.21,24.40,36.21,46.95,53.25,59.75,59.75
18,17.28,17.28,21.83,25.46,37.73,49.20,55.90,62.80,62.80
19,17.65,17.65,22.32,26.02,38.66,50.25,57.00,63.95,63.95
20,18.31,18.31,22.65,26.52,39.33,51.90,59.40,67.10,67.10
21,20.07,20.07,24.17,28.11,41.99,54.75,62.50,70.55,70.55
22,20.64,20.64,24.77,28.98,42.74,55.95,64.00,72.15,72.15
23,21.20,21.20,25.31,29.63,43.44,56.72,64.89,73.35,73.35
24,21.98,21.98,26.30,31.20,44.97,57.85,66.50,75.15,75.15
25,22.75,22.75,27.16,33.05,46.34,58.65,67.80,76.45,76.45
26,24.01,24.01,28.97,36.29,48.58,59.99,69.60,78.70,78.70
27,25.32,25.32,30.19,38.38,52.55,60.75,71.24,81.45,81.45
28,26.03,26.03,30.56,39.41,53.81,61.53,72.83,84.50,84.50
29,26.77,26.77,30.85,40.42,54.47,62.50,74.43,86.75,86.75
30,27.50,27.50,31.27,41.32,55.15,64.15,76.00,88.50,88.50
31,28.22,28.22,31.56,41.94,55.80,65.03,77.61,90.45,90.45
32,28.52,28.52,32.19,42.60,56.40,65.83,79.22,92.00,92.00
33,28.93,28.93,33.02,43.61,57.09,67.04,80.79,93.80,93.80
34,29.18,29.18,33.83,44.67,58.23,68.55,82.39,95.55,95.55
35,29.48,29.48,34.58,45.28,59.37,70.29,83.98,96.95,96.95
36,29.82,29.82,35.53,45.85,60.56,71.97,85.08,98.60,98.60
37,30.11,30.11,36.15,46.48,61.56,73.76,86.13,100.20,100.20
38,30.39,30.39,36.98,47.04,62.70,75.71,87.08,101.80,101.80
39,30.66,30.66,37.80,47.56,63.91,77.42,89.30,103.30,103.30
40,30.96,30.96,38.55,48.15,65.15,78.60,91.23,104.70,104.70
41,31.27,31.27,39.16,48.64,65.69,79.87,93.11,106.30,106.30
42,31.49,31.49,39.44,49.05,66.72,81.21,94.34,107.60,107.60
43,31.83,31.83,39.72,49.47,67.75,83.07,95.48,108.70,108.70
44,32.04,32.04,39.99,49.88,68.77,84.33,96.58,110.20,110.20
45,32.23,32.23,40.26,50.31,69.81,85.23,97.59,111.50,111.50
46,32.50,32.50,40.54,50.73,70.84,86.14,98.61,112.75,112.75
47,32.72,32.72,40.81,51.14,71.87,87.00,99.70,114.05,114.05
48,32.98,32.98,41.09,51.56,72.89,88.07,100.63,115.15,115.15
49,33.22,33.22,41.35,51.98,73.92,89.23,101.65,116.25,116.25
50,33.35,33.35,41.62,52.40,74.96,90.43,102.90,117.45,117.45
51,33.81,33.81,41.90,52.79,76.16,91.62,104.33,118.55,118.55
52,34.28,34.28,42.18,53.21,76.67,92.47,105.86,119.85,119.85
53,34.88,34.88,42.44,53.63,77.26,93.22,107.54,121.35,121.35
54,35.36,35.36,42.73,54.04,77.89,93.86,109.04,123.05,123.05
55,35.88,35.88,42.99,54.46,78.35,94.61,110.72,124.60,124.60
56,36.35,36.35,43.27,54.88,78.91,95.21,112.20,125.85,125.85
57,36.89,36.89,43.54,55.30,79.35,95.91,112.90,126.70,126.70
58,37.42,37.42,43.81,55.71,79.83,96.46,113.90,127.75,127.75
59,37.93,37.93,44.09,56.12,80.29,96.98,114.60,128.65,128.65
60,38.38,38.38,44.36,56.53,80.71,97.45,115.30,129.45,129.45
61,38.97,38.97,44.62,56.95,81.09,97.97,116.60,131.20,131.20
62,39.42,39.42,44.90,57.36,81.43,98.41,117.96,133.30,133.30
63,40.10,40.10,45.18,57.79,81.84,98.95,118.51,135.40,135.40
64,40.43,40.43,45.44,58.20,82.18,99.38,119.04,137.45,137.45
65,40.99,40.99,45.72,58.63,82.42,99.66,119.62,139.45,139.45
66,41.50,41.50,46.00,59.03,82.77,100.14,119.97,141.60,141.60
67,42.09,42.09,46.27,60.00,83.05,100.45,120.44,143.35,143.35
68,42.56,42.56,46.54,60.73,83.27,101.67,121.05,144.85,144.85
69,43.11,43.11,46.82,61.48,83.50,102.85,121.60,146.35,146.35
70,43.54,43.54,47.09,62.42,83.75,104.05,122.03,147.95,147.95
1000,82.50,82.50,104.20,125.95,149.90,171.60,193.25,215.00,215.00